tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,fare_amount,tip_amount,payment_type,trip_duration_min,avg_speed_mph,tip_percentage,pickup_month,pickup_hour,is_card_payment
2016-01-01 00:00:00,2016-01-01 00:00:00,1.1,7.5,0.0,2,,,0.0,2016-01,0.0,False
2016-01-01 00:00:00,2016-01-01 00:00:00,4.9,18.0,0.0,1,,,0.0,2016-01,0.0,True
2016-01-01 00:00:00,2016-01-01 00:00:00,10.54,33.0,0.0,1,,,0.0,2016-01,0.0,True
2016-01-01 00:00:00,2016-01-01 00:00:00,4.75,16.5,0.0,2,,,0.0,2016-01,0.0,False
2016-01-01 00:00:00,2016-01-01 00:00:00,1.76,8.0,0.0,2,,,0.0,2016-01,0.0,False
2016-01-01 00:00:00,2016-01-01 00:18:30,5.52,19.0,0.0,2,18.5,17.902702640842747,0.0,2016-01,0.0,False
2016-01-01 00:00:00,2016-01-01 00:26:45,7.45,26.0,0.0,2,26.75,16.71027994601526,0.0,2016-01,0.0,False
2016-01-01 00:00:01,2016-01-01 00:11:55,1.2,9.0,0.0,2,11.9,6.050420408489323,0.0,2016-01,0.0,False
2016-01-01 00:00:02,2016-01-01 00:11:14,6.0,18.0,0.0,2,11.2,32.142857142857146,0.0,2016-01,0.0,False
2016-01-01 00:00:02,2016-01-01 00:11:08,3.21,11.5,0.0,2,11.1,17.351351557551205,0.0,2016-01,0.0,False
